sample_id	study_id	cell_or_tissue
SAMN03651533	SRP058181	prefrontal cortex
SAMN03651544	SRP058181	prefrontal cortex
SAMN03651545	SRP058181	prefrontal cortex
SAMN03651525	SRP058181	prefrontal cortex
SAMN03651543	SRP058181	prefrontal cortex
SAMN03651506	SRP058181	prefrontal cortex
SAMN03651548	SRP058181	prefrontal cortex
SAMN03651510	SRP058181	prefrontal cortex
SAMN03651487	SRP058181	prefrontal cortex
SAMN03651530	SRP058181	prefrontal cortex
SAMN03651499	SRP058181	prefrontal cortex
SAMN03651515	SRP058181	prefrontal cortex
SAMN03651546	SRP058181	prefrontal cortex
SAMN03651541	SRP058181	prefrontal cortex
SAMN03651503	SRP058181	prefrontal cortex
SAMN03651505	SRP058181	prefrontal cortex
SAMN03651516	SRP058181	prefrontal cortex
SAMN03651540	SRP058181	prefrontal cortex
SAMN03651553	SRP058181	prefrontal cortex
SAMN03651534	SRP058181	prefrontal cortex
SAMN03651498	SRP058181	prefrontal cortex
SAMN03651500	SRP058181	prefrontal cortex
SAMN03651538	SRP058181	prefrontal cortex
SAMN03651495	SRP058181	prefrontal cortex
SAMN03651526	SRP058181	prefrontal cortex
SAMN03651549	SRP058181	prefrontal cortex
SAMN03651511	SRP058181	prefrontal cortex
SAMN03651491	SRP058181	prefrontal cortex
SAMN03651483	SRP058181	prefrontal cortex
SAMN03651542	SRP058181	prefrontal cortex
SAMN03651519	SRP058181	prefrontal cortex
SAMN03651514	SRP058181	prefrontal cortex
SAMN03651512	SRP058181	prefrontal cortex
SAMN03651537	SRP058181	prefrontal cortex
SAMN03651520	SRP058181	prefrontal cortex
SAMN03651492	SRP058181	prefrontal cortex
SAMN03651535	SRP058181	prefrontal cortex
SAMN03651551	SRP058181	prefrontal cortex
SAMN03651529	SRP058181	prefrontal cortex
SAMN03651490	SRP058181	prefrontal cortex
SAMN03651536	SRP058181	prefrontal cortex
SAMN03651552	SRP058181	prefrontal cortex
SAMN03651555	SRP058181	prefrontal cortex
SAMN03651504	SRP058181	prefrontal cortex
SAMN03651494	SRP058181	prefrontal cortex
SAMN03651550	SRP058181	prefrontal cortex
SAMN03651517	SRP058181	prefrontal cortex
SAMN03651501	SRP058181	prefrontal cortex
SAMN03651524	SRP058181	prefrontal cortex
SAMN03651518	SRP058181	prefrontal cortex
SAMN03651493	SRP058181	prefrontal cortex
SAMN03651531	SRP058181	prefrontal cortex
SAMN03651509	SRP058181	prefrontal cortex
SAMN03651521	SRP058181	prefrontal cortex
SAMN03651528	SRP058181	prefrontal cortex
SAMN03651502	SRP058181	prefrontal cortex
SAMN03651539	SRP058181	prefrontal cortex
SAMN03651513	SRP058181	prefrontal cortex
SAMN03651522	SRP058181	prefrontal cortex
SAMN03651489	SRP058181	prefrontal cortex
SAMN03651508	SRP058181	prefrontal cortex
SAMN03651488	SRP058181	prefrontal cortex
SAMN03651485	SRP058181	prefrontal cortex
SAMN03651496	SRP058181	prefrontal cortex
SAMN03651486	SRP058181	prefrontal cortex
SAMN03656328	SRP058237	epithelial cell
SAMN03656334	SRP058237	neutrophil
SAMN03656338	SRP058237	epithelial cell
SAMN03656336	SRP058237	epithelial cell
SAMN03656326	SRP058237	neutrophil
SAMN03656339	SRP058237	epithelial cell
SAMN03656332	SRP058237	neutrophil
SAMN03656337	SRP058237	epithelial cell
SAMN03656333	SRP058237	neutrophil
SAMN03656335	SRP058237	neutrophil
SAMN03656327	SRP058237	neutrophil
SAMN03658257	SRP058351	brain
SAMN03658230	SRP058351	brain
SAMN03658254	SRP058351	brain
SAMN03658252	SRP058351	brain
SAMN03658256	SRP058351	brain
SAMN03658255	SRP058351	brain
SAMN03658253	SRP058351	brain
SAMN03658260	SRP058351	brain
SAMN03658259	SRP058351	brain
SAMN03700780	SRP058414	pre-B
SAMN03700789	SRP058414	pre-B
SAMN03700781	SRP058414	pre-B
SAMN03700793	SRP058414	pre-B
SAMN03659015	SRP058414	pre-B
SAMN03700777	SRP058414	pre-B
SAMN03700783	SRP058414	pre-B
SAMN03700785	SRP058414	pre-B
SAMN03700784	SRP058414	pre-B
SAMN03700782	SRP058414	pre-B
SAMN03700776	SRP058414	pre-B
SAMN03700792	SRP058414	pre-B
SAMN03700786	SRP058414	pre-B
SAMN03700775	SRP058414	pre-B
SAMN03703589	SRP058567	fibroblast
SAMN03703588	SRP058567	fibroblast
SAMN03703590	SRP058567	fibroblast
SAMN03703591	SRP058567	fibroblast
SAMN03703593	SRP058567	fibroblast
SAMN03703595	SRP058567	fibroblast
SAMN03734243	SRP058698	chondrocyte
SAMN03734242	SRP058698	chondrocyte
SAMN03734241	SRP058698	chondrocyte
SAMN03734244	SRP058698	chondrocyte
SAMN03734245	SRP058698	chondrocyte
SAMN03734239	SRP058698	chondrocyte
SAMN03734240	SRP058698	chondrocyte
SAMN03734238	SRP058698	chondrocyte
SAMN03734659	SRP058719	thymus
SAMN03734658	SRP058719	thymus
SAMN03734655	SRP058719	bone marrow
SAMN03734651	SRP058719	bone marrow
SAMN03734660	SRP058719	thymus
SAMN03734663	SRP058719	thymus
SAMN03734649	SRP058719	bone marrow
SAMN03734664	SRP058719	thymus
SAMN03734665	SRP058719	thymus
SAMN03734652	SRP058719	bone marrow
SAMN03734648	SRP058719	bone marrow
SAMN03734667	SRP058719	thymus
SAMN03734666	SRP058719	thymus
SAMN03734653	SRP058719	bone marrow
SAMN03734661	SRP058719	thymus
SAMN03734682	SRP058722	breast cancer
SAMN03734678	SRP058722	breast cancer
SAMN03734677	SRP058722	breast cancer
SAMN03734741	SRP058722	breast cancer
SAMN03734688	SRP058722	breast cancer
SAMN03734672	SRP058722	breast cancer
SAMN03734686	SRP058722	breast cancer
SAMN03734681	SRP058722	breast cancer
SAMN03734684	SRP058722	breast cancer
SAMN03734744	SRP058722	breast cancer
SAMN03734680	SRP058722	breast cancer
SAMN03734674	SRP058722	breast cancer
SAMN03734675	SRP058722	breast cancer
SAMN03734743	SRP058722	breast cancer
SAMN03734683	SRP058722	breast cancer
SAMN03734685	SRP058722	breast cancer
SAMN03734673	SRP058722	breast cancer
SAMN03734745	SRP058722	breast cancer
SAMN03734671	SRP058722	breast cancer
SAMN03734746	SRP058722	breast cancer
SAMN03734679	SRP058722	breast cancer
SAMN03734687	SRP058722	breast cancer
SAMN03734670	SRP058722	breast cancer
SAMN03734742	SRP058722	breast cancer
SAMN03734676	SRP058722	breast cancer
SAMN03734986	SRP058740	brain
SAMN03734993	SRP058740	testis
SAMN03734987	SRP058740	brain
SAMN03734992	SRP058740	testis
SAMN03734988	SRP058740	heart
SAMN03734994	SRP058740	testis
SAMN03734989	SRP058740	heart
SAMN03734990	SRP058740	liver
SAMN03734991	SRP058740	liver
SAMN03742071	SRP058804	embryonic stem cell
SAMN03742072	SRP058804	embryonic stem cell
SAMN03742067	SRP058804	embryonic stem cell
SAMN03742069	SRP058804	embryonic stem cell
SAMN03742066	SRP058804	embryonic stem cell
SAMN03742068	SRP058804	embryonic stem cell
SAMN03742070	SRP058804	embryonic stem cell
SAMN03742065	SRP058804	embryonic stem cell
SAMN03753543	SRP058948	lymphoma
SAMN03753547	SRP058948	lymphoma
SAMN03753527	SRP058948	lymphoma
SAMN03753539	SRP058948	lymphoma
SAMN03753513	SRP058948	lymphoma
SAMN03753533	SRP058948	lymphoma
SAMN03753573	SRP058948	lymphoma
SAMN03753521	SRP058948	lymphoma
SAMN03753535	SRP058948	lymphoma
SAMN03753557	SRP058948	lymphoma
SAMN03753567	SRP058948	lymphoma
SAMN03763759	SRP059197	embryonic stem cell
SAMN03763755	SRP059197	embryonic stem cell
SAMN03763757	SRP059197	embryonic stem cell
SAMN03763758	SRP059197	embryonic stem cell
SAMN03763760	SRP059197	embryonic stem cell
SAMN03763761	SRP059197	embryonic stem cell
SAMN03763762	SRP059197	embryonic stem cell
SAMN03763756	SRP059197	embryonic stem cell
SAMN03764011	SRP059205	induced pluripotent stem cell
SAMN03764014	SRP059205	induced pluripotent stem cell
SAMN03764013	SRP059205	induced pluripotent stem cell
SAMN03764012	SRP059205	induced pluripotent stem cell
SAMN03764017	SRP059205	induced pluripotent stem cell
SAMN03764016	SRP059205	induced pluripotent stem cell
SAMN03766029	SRP059275	colon cancer
SAMN03766026	SRP059275	colon cancer
SAMN03766030	SRP059275	colon cancer
SAMN03766032	SRP059275	colon cancer
SAMN03766031	SRP059275	colon cancer
SAMN03766028	SRP059275	colon cancer
SAMN03766027	SRP059275	colon cancer
SAMN03766033	SRP059275	colon cancer
SAMN03775604	SRP059509	pancreas
SAMN03775589	SRP059509	pancreas
SAMN03775596	SRP059509	pancreas
SAMN03775592	SRP059509	pancreas
SAMN03775586	SRP059509	pancreas
SAMN03775612	SRP059509	pancreas
SAMN03775614	SRP059509	pancreas
SAMN03775600	SRP059509	pancreas
SAMN03775584	SRP059509	pancreas
SAMN03775595	SRP059509	pancreas
SAMN03775606	SRP059509	pancreas
SAMN03775616	SRP059509	pancreas
SAMN03775608	SRP059509	pancreas
SAMN03775694	SRP059509	pancreas
SAMN03775602	SRP059509	pancreas
SAMN03775615	SRP059509	pancreas
SAMN03775693	SRP059509	pancreas
SAMN03775610	SRP059509	pancreas
SAMN03776557	SRP059531	fibroblast
SAMN03776561	SRP059531	fibroblast
SAMN03776559	SRP059531	fibroblast
SAMN03776560	SRP059531	fibroblast
SAMN03776558	SRP059531	fibroblast
SAMN03776556	SRP059531	fibroblast
SAMN03783359	SRP059695	neutrophil
SAMN03783354	SRP059695	neutrophil
SAMN03783358	SRP059695	neutrophil
SAMN03783360	SRP059695	neutrophil
SAMN03783357	SRP059695	neutrophil
SAMN03783356	SRP059695	neutrophil
SAMN03783352	SRP059695	neutrophil
SAMN03783350	SRP059695	neutrophil
SAMN03783349	SRP059695	neutrophil
SAMN03783351	SRP059695	neutrophil
SAMN03783355	SRP059695	neutrophil
SAMN03783353	SRP059695	neutrophil
SAMN03798427	SRP059925	HUVEC
SAMN03798424	SRP059925	HUVEC
SAMN03798422	SRP059925	HUVEC
SAMN03798426	SRP059925	HUVEC
SAMN03798425	SRP059925	HUVEC
SAMN03798423	SRP059925	HUVEC
SAMN03801376	SRP059959	granulocyte
SAMN03801378	SRP059959	granulocyte
SAMN03801347	SRP059959	granulocyte
SAMN03801371	SRP059959	granulocyte
SAMN03801356	SRP059959	granulocyte
SAMN03801358	SRP059959	granulocyte
SAMN03801348	SRP059959	granulocyte
SAMN03801341	SRP059959	granulocyte
SAMN03801349	SRP059959	granulocyte
SAMN03801374	SRP059959	granulocyte
SAMN03801350	SRP059959	granulocyte
SAMN03801352	SRP059959	granulocyte
SAMN03801345	SRP059959	granulocyte
SAMN03801343	SRP059959	granulocyte
SAMN03801375	SRP059959	granulocyte
SAMN03801351	SRP059959	granulocyte
SAMN03801362	SRP059959	granulocyte
SAMN03801354	SRP059959	granulocyte
SAMN03801363	SRP059959	granulocyte
SAMN03801344	SRP059959	granulocyte
SAMN03801377	SRP059959	granulocyte
SAMN03801360	SRP059959	granulocyte
SAMN03801369	SRP059959	granulocyte
SAMN03801355	SRP059959	granulocyte
SAMN03801373	SRP059959	granulocyte
SAMN03801367	SRP059959	granulocyte
SAMN03801346	SRP059959	granulocyte
SAMN03801353	SRP059959	granulocyte
SAMN03801366	SRP059959	granulocyte
SAMN03801361	SRP059959	granulocyte
SAMN03801342	SRP059959	granulocyte
SAMN03801357	SRP059959	granulocyte
SAMN03801364	SRP059959	granulocyte
SAMN03801368	SRP059959	granulocyte
SAMN03801372	SRP059959	granulocyte
SAMN03801359	SRP059959	granulocyte
SAMN03801365	SRP059959	granulocyte
SAMN03801370	SRP059959	granulocyte
SAMN03835497	SRP060253	stomach
SAMN03835500	SRP060253	stomach
SAMN03835499	SRP060253	stomach
SAMN03835501	SRP060253	stomach
SAMN03835496	SRP060253	stomach
SAMN03835498	SRP060253	stomach
SAMN03840215	SRP060355	adipose tissue
SAMN03840183	SRP060355	heart
SAMN03840173	SRP060355	liver
SAMN03840253	SRP060355	kidney
SAMN03840181	SRP060355	liver
SAMN03840230	SRP060355	adipose tissue
SAMN03840177	SRP060355	liver
SAMN03840198	SRP060355	heart
SAMN03840266	SRP060355	kidney
SAMN03840264	SRP060355	kidney
SAMN03840267	SRP060355	kidney
SAMN03840228	SRP060355	adipose tissue
SAMN03840221	SRP060355	adipose tissue
SAMN03840191	SRP060355	heart
SAMN03840213	SRP060355	adipose tissue
SAMN03840203	SRP060355	heart
SAMN03840211	SRP060355	adipose tissue
SAMN03840192	SRP060355	heart
SAMN03840261	SRP060355	kidney
SAMN03840224	SRP060355	adipose tissue
SAMN03840186	SRP060355	heart
SAMN03840171	SRP060355	liver
SAMN03840269	SRP060355	kidney
SAMN03840265	SRP060355	kidney
SAMN03840188	SRP060355	heart
SAMN03840256	SRP060355	kidney
SAMN03840250	SRP060355	liver
SAMN03840174	SRP060355	liver
SAMN03840251	SRP060355	liver
SAMN03840190	SRP060355	heart
SAMN03840182	SRP060355	heart
SAMN03840258	SRP060355	kidney
SAMN03840194	SRP060355	heart
SAMN03840197	SRP060355	heart
SAMN03840184	SRP060355	heart
SAMN03840227	SRP060355	adipose tissue
SAMN03840168	SRP060355	liver
SAMN03840204	SRP060355	heart
SAMN03840263	SRP060355	kidney
SAMN03840262	SRP060355	kidney
SAMN03840195	SRP060355	heart
SAMN03840245	SRP060355	liver
SAMN03840219	SRP060355	adipose tissue
SAMN03840196	SRP060355	heart
SAMN03840226	SRP060355	adipose tissue
SAMN03840272	SRP060355	kidney
SAMN03840205	SRP060355	heart
SAMN03840170	SRP060355	liver
SAMN03840229	SRP060355	adipose tissue
SAMN03840217	SRP060355	adipose tissue
SAMN03840259	SRP060355	kidney
SAMN03840178	SRP060355	liver
SAMN03840231	SRP060355	adipose tissue
SAMN03840216	SRP060355	adipose tissue
SAMN03840193	SRP060355	heart
SAMN03840225	SRP060355	adipose tissue
SAMN03840220	SRP060355	adipose tissue
SAMN03840260	SRP060355	kidney
SAMN03840208	SRP060355	adipose tissue
SAMN03840268	SRP060355	kidney
SAMN03840199	SRP060355	heart
SAMN03840252	SRP060355	liver
SAMN03840255	SRP060355	kidney
SAMN03840270	SRP060355	kidney
SAMN03840202	SRP060355	heart
SAMN03840169	SRP060355	liver
SAMN03840212	SRP060355	adipose tissue
SAMN03840179	SRP060355	liver
SAMN03840271	SRP060355	kidney
SAMN03840248	SRP060355	liver
SAMN03840209	SRP060355	adipose tissue
SAMN03840207	SRP060355	adipose tissue
SAMN03840223	SRP060355	adipose tissue
SAMN03840242	SRP060355	liver
SAMN03840200	SRP060355	heart
SAMN03840201	SRP060355	heart
SAMN03840257	SRP060355	kidney
SAMN03840187	SRP060355	heart
SAMN03840254	SRP060355	kidney
SAMN03840206	SRP060355	heart
SAMN03840210	SRP060355	adipose tissue
SAMN03840222	SRP060355	adipose tissue
SAMN03840176	SRP060355	liver
SAMN03840180	SRP060355	liver
SAMN03840189	SRP060355	heart
SAMN03840185	SRP060355	heart
SAMN03840249	SRP060355	liver
SAMN03840218	SRP060355	adipose tissue
SAMN03840243	SRP060355	liver
SAMN03840175	SRP060355	liver
SAMN03840247	SRP060355	liver
SAMN03840214	SRP060355	adipose tissue
SAMN03840172	SRP060355	liver
SAMN03840592	SRP060370	epithelial cell
SAMN03840596	SRP060370	epithelial cell
SAMN03840593	SRP060370	epithelial cell
SAMN03840595	SRP060370	epithelial cell
SAMN03840589	SRP060370	epithelial cell
SAMN03840597	SRP060370	epithelial cell
SAMN03840594	SRP060370	epithelial cell
SAMN03840590	SRP060370	epithelial cell
SAMN03840600	SRP060370	epithelial cell
SAMN03840598	SRP060370	epithelial cell
SAMN03840599	SRP060370	epithelial cell
SAMN03840591	SRP060370	epithelial cell
SAMN03856516	SRP060715	CLL
SAMN03856509	SRP060715	B cell
SAMN03856520	SRP060715	CLL
SAMN03856512	SRP060715	CLL
SAMN03856517	SRP060715	CLL
SAMN03856508	SRP060715	B cell
SAMN03856514	SRP060715	CLL
SAMN03856510	SRP060715	B cell
SAMN03856515	SRP060715	CLL
SAMN03856521	SRP060715	CLL
SAMN03856511	SRP060715	B cell
SAMN03856522	SRP060715	CLL
SAMN03856507	SRP060715	B cell
SAMN03856513	SRP060715	CLL
SAMN03856518	SRP060715	CLL
SAMN03863606	SRP061243	breast
SAMN03863610	SRP061243	breast
SAMN03863611	SRP061243	breast
SAMN03863609	SRP061243	breast
SAMN03863607	SRP061243	breast
SAMN03863612	SRP061243	breast
SAMN03863605	SRP061243	breast
SAMN03863608	SRP061243	breast
SAMN03892457	SRP061380	HUVEC
SAMN03892456	SRP061380	HUVEC
SAMN03892451	SRP061380	HUVEC
SAMN03892453	SRP061380	HUVEC
SAMN03892452	SRP061380	HUVEC
SAMN03892450	SRP061380	HUVEC
SAMN03892458	SRP061380	HUVEC
SAMN03892449	SRP061380	HUVEC
SAMN03892447	SRP061380	HUVEC
SAMN03892448	SRP061380	HUVEC
SAMN03892454	SRP061380	HUVEC
SAMN03892455	SRP061380	HUVEC
SAMN03893220	SRP061425	prostate cancer
SAMN03893224	SRP061425	prostate cancer
SAMN03893226	SRP061425	prostate cancer
SAMN03893223	SRP061425	prostate cancer
SAMN03893225	SRP061425	prostate cancer
SAMN03893219	SRP061425	prostate cancer
SAMN03893221	SRP061425	prostate cancer
SAMN03893222	SRP061425	prostate cancer
SAMN03922799	SRP061566	prostate cancer
SAMN03922797	SRP061566	prostate cancer
SAMN03922798	SRP061566	prostate cancer
SAMN03922800	SRP061566	prostate cancer
SAMN03922796	SRP061566	prostate cancer
SAMN03922795	SRP061566	prostate cancer
SAMN03940478	SRP061682	neural progenitor cell
SAMN03940473	SRP061682	neural progenitor cell
SAMN03940577	SRP061682	neuron
SAMN03940572	SRP061682	neuron
SAMN03940584	SRP061682	neuron
SAMN03940471	SRP061682	neural progenitor cell
SAMN03940585	SRP061682	neuron
SAMN03940582	SRP061682	neuron
SAMN03940470	SRP061682	neural progenitor cell
SAMN03940578	SRP061682	neuron
SAMN03940468	SRP061682	neural progenitor cell
SAMN03940466	SRP061682	neural progenitor cell
SAMN03940568	SRP061682	neuron
SAMN03940579	SRP061682	neuron
SAMN03940467	SRP061682	neural progenitor cell
SAMN03940563	SRP061682	neural progenitor cell
SAMN03940574	SRP061682	neuron
SAMN03940474	SRP061682	neural progenitor cell
SAMN03940581	SRP061682	neuron
SAMN03940559	SRP061682	neural progenitor cell
SAMN03940564	SRP061682	neural progenitor cell
SAMN03940567	SRP061682	neuron
SAMN03940477	SRP061682	neural progenitor cell
SAMN03940561	SRP061682	neuron
SAMN03940565	SRP061682	neural progenitor cell
SAMN03940560	SRP061682	neural progenitor cell
SAMN03940562	SRP061682	neural progenitor cell
SAMN03940587	SRP061682	neuron
SAMN03940573	SRP061682	neuron
SAMN03940469	SRP061682	neural progenitor cell
SAMN03940472	SRP061682	neural progenitor cell
SAMN03940569	SRP061682	neuron
SAMN03940570	SRP061682	neuron
SAMN03940583	SRP061682	neuron
SAMN03940586	SRP061682	neuron
SAMN03940576	SRP061682	neuron
SAMN03940580	SRP061682	neuron
SAMN03940475	SRP061682	neural progenitor cell
SAMN03940575	SRP061682	neuron
SAMN03940571	SRP061682	neuron
SAMN03940476	SRP061682	neural progenitor cell
SAMN03940566	SRP061682	neural progenitor cell
SAMN03946190	SRP061881	CD4 T cell
SAMN03946189	SRP061881	CD4 T cell
SAMN03946202	SRP061881	CD4 T cell
SAMN03946201	SRP061881	CD4 T cell
SAMN03946200	SRP061881	CD4 T cell
SAMN03946199	SRP061881	CD4 T cell
SAMN03946191	SRP061881	CD4 T cell
SAMN03946193	SRP061881	CD4 T cell
SAMN03946198	SRP061881	CD4 T cell
SAMN03946197	SRP061881	CD4 T cell
SAMN03946196	SRP061881	CD4 T cell
SAMN03946195	SRP061881	CD4 T cell
SAMN03946194	SRP061881	CD4 T cell
SAMN03946192	SRP061881	CD4 T cell
SAMN03952441	SRP061932	CD4 T cell
SAMN03952438	SRP061932	CD4 T cell
SAMN03952439	SRP061932	CD4 T cell
SAMN03952445	SRP061932	CD4 T cell
SAMN03952442	SRP061932	CD4 T cell
SAMN03952443	SRP061932	CD4 T cell
SAMN03952440	SRP061932	CD4 T cell
SAMN03952444	SRP061932	CD4 T cell
SAMN03952434	SRP061932	CD4 T cell
SAMN03952435	SRP061932	CD4 T cell
SAMN03952436	SRP061932	CD4 T cell
SAMN03952437	SRP061932	CD4 T cell
SAMN03956222	SRP062010	induced pluripotent stem cell
SAMN03956219	SRP062010	fibroblast
SAMN03956223	SRP062010	induced pluripotent stem cell
SAMN03956220	SRP062010	fibroblast
SAMN03956221	SRP062010	fibroblast
SAMN03956224	SRP062010	induced pluripotent stem cell
SAMN03956225	SRP062010	induced pluripotent stem cell
SAMN03979740	SRP062214	induced pluripotent stem cell
SAMN03979736	SRP062214	induced pluripotent stem cell
SAMN03979741	SRP062214	induced pluripotent stem cell
SAMN03979738	SRP062214	induced pluripotent stem cell
SAMN03979737	SRP062214	induced pluripotent stem cell
SAMN03979739	SRP062214	induced pluripotent stem cell
SAMN03980271	SRP062230	colon cancer
SAMN03980269	SRP062230	breast cancer
SAMN03980270	SRP062230	breast cancer
SAMN03980268	SRP062230	breast cancer
SAMN03980214	SRP062230	colon cancer
SAMN03980213	SRP062230	colon cancer
SAMN03980212	SRP062230	colon cancer
SAMN03980267	SRP062230	breast cancer
SAMN03981692	SRP062287	breast cancer
SAMN03981691	SRP062287	breast cancer
SAMN03981700	SRP062287	breast cancer
SAMN03981699	SRP062287	breast cancer
SAMN03981689	SRP062287	breast cancer
SAMN03981695	SRP062287	breast cancer
SAMN03981693	SRP062287	breast cancer
SAMN03981694	SRP062287	breast cancer
SAMN03981698	SRP062287	breast cancer
SAMN03981696	SRP062287	breast cancer
SAMN03981697	SRP062287	breast cancer
SAMN03981690	SRP062287	breast cancer
SAMN04017638	SRP062958	monocyte
SAMN04017641	SRP062958	monocyte
SAMN04017642	SRP062958	monocyte
SAMN04017639	SRP062958	monocyte
SAMN04017640	SRP062958	monocyte
SAMN04017643	SRP062958	monocyte
SAMN04025479	SRP063059	fibroblast
SAMN04025469	SRP063059	fibroblast
SAMN04025472	SRP063059	fibroblast
SAMN04025460	SRP063059	fibroblast
SAMN04025458	SRP063059	fibroblast
SAMN04025466	SRP063059	fibroblast
SAMN04025456	SRP063059	fibroblast
SAMN04025475	SRP063059	fibroblast
SAMN04025471	SRP063059	fibroblast
SAMN04025477	SRP063059	fibroblast
SAMN04025454	SRP063059	fibroblast
SAMN04025476	SRP063059	fibroblast
SAMN04025461	SRP063059	fibroblast
SAMN04025462	SRP063059	fibroblast
SAMN04025464	SRP063059	fibroblast
SAMN04025465	SRP063059	fibroblast
SAMN04025474	SRP063059	fibroblast
SAMN04025457	SRP063059	fibroblast
SAMN04025463	SRP063059	fibroblast
SAMN04025455	SRP063059	fibroblast
SAMN04025473	SRP063059	fibroblast
SAMN04025470	SRP063059	fibroblast
SAMN04025467	SRP063059	fibroblast
SAMN04025459	SRP063059	fibroblast
SAMN04025468	SRP063059	fibroblast
SAMN04033388	SRP063363	PBMC
SAMN04033389	SRP063363	PBMC
SAMN04033391	SRP063363	PBMC
SAMN04033392	SRP063363	PBMC
SAMN04033393	SRP063363	PBMC
SAMN04033390	SRP063363	PBMC
SAMN04033415	SRP063460	cancer
SAMN04039289	SRP063460	cancer
SAMN04033419	SRP063460	cancer
SAMN04033418	SRP063460	cancer
SAMN04033416	SRP063460	cancer
SAMN04033417	SRP063460	cancer
SAMN04041633	SRP063496	colon
SAMN04041625	SRP063496	colon
SAMN04041584	SRP063496	colon
SAMN04041649	SRP063496	colon
SAMN04041612	SRP063496	colon
SAMN04041646	SRP063496	colon
SAMN04041651	SRP063496	colon
SAMN04041636	SRP063496	colon
SAMN04041640	SRP063496	colon
SAMN04041641	SRP063496	colon
SAMN04041645	SRP063496	colon
SAMN04041655	SRP063496	colon
SAMN04041590	SRP063496	colon
SAMN04041593	SRP063496	colon
SAMN04041600	SRP063496	colon
SAMN04041647	SRP063496	colon
SAMN04041597	SRP063496	colon
SAMN04041630	SRP063496	colon
SAMN04041656	SRP063496	colon
SAMN04041618	SRP063496	colon
SAMN04041606	SRP063496	colon
SAMN04041627	SRP063496	colon
SAMN04041638	SRP063496	colon
SAMN04041599	SRP063496	colon
SAMN04041610	SRP063496	colon
SAMN04041631	SRP063496	colon
SAMN04041605	SRP063496	colon
SAMN04041628	SRP063496	colon
SAMN04041609	SRP063496	colon
SAMN04041595	SRP063496	colon
SAMN04041596	SRP063496	colon
SAMN04041635	SRP063496	colon
SAMN04041592	SRP063496	colon
SAMN04041634	SRP063496	colon
SAMN04041622	SRP063496	colon
SAMN04041587	SRP063496	colon
SAMN04041621	SRP063496	colon
SAMN04041613	SRP063496	colon
SAMN04041637	SRP063496	colon
SAMN04041591	SRP063496	colon
SAMN04041639	SRP063496	colon
SAMN04041602	SRP063496	colon
SAMN04041588	SRP063496	colon
SAMN04041632	SRP063496	colon
SAMN04041611	SRP063496	colon
SAMN04041624	SRP063496	colon
SAMN04041607	SRP063496	colon
SAMN04041589	SRP063496	colon
SAMN04041615	SRP063496	colon
SAMN04041623	SRP063496	colon
SAMN04041654	SRP063496	colon
SAMN04041594	SRP063496	colon
SAMN04041629	SRP063496	colon
SAMN04041653	SRP063496	colon
SAMN04041650	SRP063496	colon
SAMN04041616	SRP063496	colon
SAMN04041604	SRP063496	colon
SAMN04041598	SRP063496	colon
SAMN04041619	SRP063496	colon
SAMN04041608	SRP063496	colon
SAMN04041643	SRP063496	colon
SAMN04041644	SRP063496	colon
SAMN04041620	SRP063496	colon
SAMN04041642	SRP063496	colon
SAMN04041652	SRP063496	colon
SAMN04041614	SRP063496	colon
SAMN04041586	SRP063496	colon
SAMN04041585	SRP063496	colon
SAMN04041648	SRP063496	colon
SAMN04041617	SRP063496	colon
SAMN04041626	SRP063496	colon
SAMN04041601	SRP063496	colon
SAMN04041603	SRP063496	colon
SAMN04054400	SRP063631	prostate cancer
SAMN04054397	SRP063631	prostate cancer
SAMN04054398	SRP063631	prostate cancer
SAMN04054402	SRP063631	prostate cancer
SAMN04054399	SRP063631	prostate cancer
SAMN04054401	SRP063631	prostate cancer
SAMN04075693	SRP063669	induced pluripotent stem cell
SAMN04075687	SRP063669	induced pluripotent stem cell
SAMN04075689	SRP063669	induced pluripotent stem cell
SAMN04075688	SRP063669	induced pluripotent stem cell
SAMN04075692	SRP063669	induced pluripotent stem cell
SAMN04075690	SRP063669	induced pluripotent stem cell
SAMN04075691	SRP063669	induced pluripotent stem cell
SAMN04076321	SRP063885	placenta
SAMN04076324	SRP063885	placenta
SAMN04076328	SRP063885	placenta
SAMN04076327	SRP063885	placenta
SAMN04076326	SRP063885	placenta
SAMN04076318	SRP063885	placenta
SAMN04076325	SRP063885	placenta
SAMN04076314	SRP063885	placenta
SAMN04076319	SRP063885	placenta
SAMN04076316	SRP063885	placenta
SAMN04076331	SRP063885	placenta
SAMN04076317	SRP063885	placenta
SAMN04076320	SRP063885	placenta
SAMN04076329	SRP063885	placenta
SAMN04076330	SRP063885	placenta
SAMN04076315	SRP063885	placenta
SAMN04076322	SRP063885	placenta
SAMN04076323	SRP063885	placenta
SAMN04105275	SRP064475	embryonic stem cell
SAMN04105276	SRP064475	embryonic stem cell
SAMN04105280	SRP064475	embryonic stem cell
SAMN04105279	SRP064475	embryonic stem cell
SAMN04105282	SRP064475	embryonic stem cell
SAMN04105281	SRP064475	embryonic stem cell
SAMN04105277	SRP064475	embryonic stem cell
SAMN04147555	SRP064527	prostate
SAMN04147557	SRP064527	prostate
SAMN04147556	SRP064527	prostate
SAMN04147558	SRP064527	prostate
SAMN04147554	SRP064527	prostate
SAMN04147559	SRP064527	prostate
